			2016		2017		2018		2019		2020		2021		2022		2023		2024		2025		2026		2027		2028		2029		2030		2031	
State	HCRP Consent Rate	HCRP Utilization Rate 	HCRP Tx	Mandatory Notification Tx	HCRP Tx	Mandatory Notification Tx	HCRP Tx	Mandatory Notification Tx	HCRP Tx 	Mandatory Notification Tx	HCRP Tx	Mandatory Notification Tx	HCRP Tx	Mandatory Notification Tx	HCRP Tx	Mandatory Notification Tx	HCRP Tx	Mandatory Notification Tx	HCRP Tx	Mandatory Notification Tx	HCRP Tx 	Mandatory Notification Tx	HCRP Tx	Mandatory Notification Tx	HCRP Tx	Mandatory Notification Tx	HCRP Tx	Mandatory Notification Tx	HCRP Tx 	Mandatory Notification Tx	HCRP Tx	Mandatory Notification Tx	HCRP Tx	Mandatory Notification Tx
UP	0.5	0.7	4824	1403	4984	1450	5147	1497	5312	1545	5480	1594	5650	1644	5815	1692	5982	1740	6151	1789	6322	1839	6496	1890	6672	1941	6851	1993	7032	2046	7215	2099	7400	2153
Maharashtra	0.5	0.7	4068	2959	4144	1206	4221	1228	4298	1250	4376	1273	4455	1296	4530	1318	4606	1340	4682	1362	4759	1384	4837	1407	4915	1430	4993	1453	5073	1476	5152	1499	5233	1522
West Bengal	0.5	0.7	2287	1663	2329	678	2371	690	2414	702	2457	715	2501	728	2543	740	2585	752	2628	764	2671	777	2714	790	2758	802	2802	815	2846	828	2891	841	2936	854
Andhra Pradesh 	0.5	0.7	1564	1137	1592	463	1620	471	1649	480	1677	488	1706	496	1732	504	1758	511	1784	519	1810	527	1836	534	1863	542	1890	550	1917	558	1944	565	1971	573
Telengana	0.5	0.7	1285	935	1307	380	1329	386	1351	393	1373	399	1395	406	1414	411	1434	417	1454	423	1474	429	1494	435	1514	440	1534	446	1554	452	1575	458	1596	464
Tamil Nadu	0.5	0.7	3157	2296	3192	929	3227	939	3263	949	3299	960	3334	970	3368	980	3401	989	3434	999	3468	1009	3502	1019	3536	1029	3570	1039	3604	1049	3639	1059	3674	1069
Rajasthan 	0.5	0.7	1551	1128	1599	465	1648	479	1698	494	1748	508	1799	523	1850	538	1901	553	1953	568	2006	584	2059	599	2113	615	2168	631	2223	647	2279	663	2336	680
Gujarat	0.5	0.7	2171	1579	2208	642	2245	653	2282	664	2319	675	2357	686	2396	697	2436	709	2475	720	2515	732	2556	743	2596	755	2637	767	2678	779	2720	791	2762	803
Kerala	0.5	0.7	1419	1032	1442	419	1465	426	1488	433	1511	440	1535	447	1549	451	1564	455	1578	459	1593	463	1607	468	1622	472	1637	476	1652	480	1667	485	1681	489
Punjab	0.5	0.7	896	652	913	266	929	270	946	275	963	280	980	285	995	289	1010	294	1026	298	1041	303	1057	307	1072	312	1088	317	1104	321	1120	326	1136	331
Haryana 	0.5	0.7	763	555	784	228	805	234	826	240	847	247	869	253	888	258	908	264	927	270	947	276	967	281	988	287	1008	293	1029	299	1050	305	1071	311
Bihar	0.5	0.7	1121	815	1166	339	1211	352	1258	366	1305	380	1354	394	1408	410	1463	426	1520	442	1577	459	1636	476	1695	493	1756	511	1818	529	1880	547	1944	566
Madhya Pradesh	0.5	0.7	2137	1554	2191	637	2245	653	2300	669	2356	685	2412	702	2470	718	2528	735	2587	752	2646	770	2706	787	2767	805	2829	823	2891	841	2954	859	3017	878
Karnataka	0.5	0.7	2101	1528	2134	621	2168	631	2202	640	2236	650	2270	660	2305	671	2340	681	2375	691	2411	701	2447	712	2483	722	2519	733	2556	743	2593	754	2630	765
Orissa/Odisha	0.5	0.7	778	566	796	232	815	237	834	243	853	248	872	254	892	259	912	265	932	271	952	277	972	283	993	289	1014	295	1034	301	1056	307	1077	313
Jharkhand	0.5	0.7	730	531	751	218	771	224	792	230	813	237	835	243	857	249	879	256	901	262	923	269	946	275	969	282	993	289	1016	296	1040	303	1065	310
Assam	0.5	0.7	482	350	497	145	513	149	529	154	546	159	563	164	579	168	596	173	613	178	630	183	647	188	665	193	683	199	701	204	719	209	738	215
Chhatisgarh	0.5	0.7	602	438	615	179	627	182	640	186	653	190	666	194	681	198	696	203	712	207	728	212	744	216	760	221	776	226	793	231	809	235	826	240
Delhi	0.5	0.7	902	656	920	268	938	273	956	278	974	283	992	289	1006	293	1021	297	1035	301	1049	305	1063	309	1078	314	1092	318	1106	322	1121	326	1135	330
Jammu and Kashmir	0.5	0.7	234	170	237	69	240	70	243	71	246	72	249	73	254	74	259	75	263	77	268	78	273	79	278	81	282	82	287	84	292	85	297	86
Uttarkhand	0.5	0.7	244	177	249	72	254	74	260	76	265	77	271	79	276	80	282	82	288	84	294	85	300	87	305	89	311	91	317	92	324	94	330	96
Himachal Pradesh	0.5	0.7	64	47	67	19	69	20	71	21	74	21	76	22	79	23	81	24	84	24	86	25	88	26	91	26	94	27	96	28	99	29	101	29
Tripura	0.5	0.7	62	45	63	18	65	19	66	19	67	20	69	20	70	20	71	21	73	21	74	22	76	22	77	22	79	23	80	23	81	24	83	24
Meghalaya	0.5	0.7	62	45	64	19	66	19	67	20	69	20	71	21	73	21	75	22	77	22	79	23	81	24	84	24	86	25	88	26	90	26	92	27
Manipur	0.5	0.7	40	29	41	12	41	12	41	12	41	12	41	12	42	12	43	12	43	13	44	13	45	13	46	13	46	13	47	14	48	14	49	14
Nagaland	0.5	0.7	28	20	29	8	30	9	31	9	33	10	34	10	35	10	35	10	36	11	37	11	38	11	38	11	39	11	40	12	41	12	41	12
Goa	0.5	0.7	79	57	81	23	83	24	84	25	86	25	88	26	89	26	91	26	92	27	93	27	94	27	96	28	97	28	98	29	100	29	101	29
Arunchal Pradesh	0.5	0.7	25	18	26	8	27	8	27	8	28	8	29	8	30	9	31	9	32	9	33	10	34	10	34	10	35	10	36	11	37	11	38	11
Puducherry	0.5	0.7	74	54	75	22	76	22	76	22	77	22	78	23	79	23	80	23	82	24	83	24	84	24	85	25	87	25	88	26	89	26	91	26
Mizoram	0.5	0.7	31	22	31	9	32	9	32	9	33	9	33	10	34	10	34	10	35	10	35	10	36	10	36	11	37	11	38	11	38	11	39	11
Chandigarh	0.5	0.7	56	41	57	17	59	17	60	18	62	18	63	18	64	19	65	19	66	19	67	19	68	20	68	20	69	20	70	20	71	21	72	21
Sikkim	0.5	0.7	12	9	12	4	13	4	13	4	13	4	14	4	14	4	15	4	15	4	15	4	16	5	16	5	16	5	17	5	17	5	17	5
Andaman and Nicobar Islands	0.5	0.7	9	6	9	3	9	3	9	3	10	3	10	3	10	3	10	3	10	3	10	3	11	3	11	3	11	3	11	3	11	3	11	3
Daman and Diu	0.5	0.7	11	8	11	3	11	3	11	3	11	3	11	3	12	3	12	3	12	4	13	4	13	4	13	4	13	4	14	4	14	4	14	4
Dadra and Nagar Haveli	0.5	0.7	10	7	10	3	10	3	10	3	11	3	11	3	11	3	12	3	12	4	12	4	13	4	13	4	14	4	14	4	15	4	15	4
Lakshadweep	0.5	0.7	4	3	5	1	5	1	5	1	5	1	5	2	5	2	5	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2
TOTAL 			33882	22536	34629	10074	35383	10293	36146	10515	36918	10740	37698	10967	38454	11187	39219	11409	39991	11634	40771	11861	41560	12090	42357	12322	43162	12556	43975	12793	44796	13032	45625	13273
